attack,defense,hp,icon_url,name,sp_atk,sp_def,speed,total,type
410,50,,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,Ponyta,85,55,65,410,Fire
410,50,,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,Ponyta,85,55,65,410,Psychic
500,65,,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,Rapidash,100,70,80,500,Fire
500,65,,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,Rapidash,100,70,80,500,"Psychic,Fairy"
315,90,,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,Slowpoke,65,65,40,315,"Water,Psychic"
315,90,,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,Slowpoke,65,65,40,315,Psychic
490,95,,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Slowbro,75,110,100,490,"Water,Psychic"
590,95,,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,Slowbro,75,180,130,590,"Water,Psychic"
490,95,,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,Slowbro,100,95,100,490,"Poison,Psychic"
325,25,,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,Magnemite,35,70,95,325,"Electric,Steel"
465,50,,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,Magneton,60,95,120,465,"Electric,Steel"
377,52,,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,Farfetch'd,90,55,58,377,"Normal,Flying"
377,52,,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,Farfetch'd,95,55,58,377,Fighting
310,35,,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,Doduo,85,45,35,310,"Normal,Flying"
470,60,,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,Dodrio,110,70,60,470,"Normal,Flying"
325,65,,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,Seel,45,55,45,325,Water
475,90,,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,Dewgong,70,80,70,475,"Water,Ice"
325,80,,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,Grimer,80,50,40,325,Poison
325,80,,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,Grimer,80,50,40,325,"Poison,Dark"
500,105,,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,Muk,105,75,65,500,Poison
500,105,,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,Muk,105,75,65,500,"Poison,Dark"
305,30,,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,Shellder,65,100,45,305,Water
525,50,,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Cloyster,95,180,85,525,"Water,Ice"
310,30,,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,Gastly,35,30,100,310,"Ghost,Poison"
405,45,,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,Haunter,50,45,115,405,"Ghost,Poison"
500,60,,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Gengar,65,60,130,500,"Ghost,Poison"
600,60,,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,Gengar,65,80,170,600,"Ghost,Poison"
385,35,,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,Onix,45,160,30,385,"Rock,Ground"
328,60,,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,Drowzee,48,45,43,328,Psychic
483,85,,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,Hypno,73,70,73,483,Psychic
325,30,,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,Krabby,105,90,25,325,Water
475,55,,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Kingler,130,115,50,475,Water
330,40,,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,Voltorb,30,50,55,330,Electric
330,40,,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,Voltorb,30,50,55,330,"Electric,Grass"
490,60,,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,Electrode,50,70,80,490,Electric
490,60,,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,Electrode,50,70,80,490,"Electric,Grass"
325,60,,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,Exeggcute,40,80,60,325,"Grass,Psychic"
530,95,,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Exeggutor,95,85,125,530,"Grass,Psychic"
530,95,,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Exeggutor,105,85,125,530,"Grass,Dragon"
320,50,,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,Cubone,50,95,40,320,Ground
425,60,,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,Marowak,80,110,50,425,Ground
425,60,,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Marowak,80,110,50,425,"Fire,Ghost"
455,50,,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,Hitmonlee,120,53,35,455,Fighting
455,50,,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,Hitmonchan,105,79,35,455,Fighting
385,90,,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,Lickitung,55,75,60,385,Normal
340,40,,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,Koffing,65,95,60,340,Poison
490,65,,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,Weezing,90,120,85,490,Poison
490,65,,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Weezing,90,120,85,490,"Poison,Fairy"
345,80,,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,Rhyhorn,85,95,30,345,"Ground,Rock"
485,105,,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,Rhydon,130,120,45,485,"Ground,Rock"
450,250,,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Chansey,5,5,35,450,Normal
435,65,,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,Tangela,55,115,100,435,Grass
490,105,,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Kangaskhan,95,80,40,490,Normal
590,105,,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,Kangaskhan,125,100,60,590,Normal
295,30,,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,Horsea,40,70,70,295,Water
440,55,,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,Seadra,65,95,95,440,Water
320,45,,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,Goldeen,67,60,35,320,Water
450,80,,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,Seaking,92,65,65,450,Water
340,30,,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,Staryu,45,55,70,340,Water
520,60,,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,Starmie,75,85,100,520,"Water,Psychic"
460,40,,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,Mr. Mime,45,65,100,460,"Psychic,Fairy"
460,50,,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Mr. Mime,65,65,90,460,"Ice,Psychic"
500,70,,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,Scyther,110,80,55,500,"Bug,Flying"
455,65,,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,Jynx,50,35,115,455,"Ice,Psychic"
490,65,,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,Electabuzz,83,57,95,490,Electric
495,65,,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,Magmar,95,57,100,495,Fire
500,65,,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,Pinsir,125,100,55,500,Bug
600,65,,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,Pinsir,155,120,65,600,"Bug,Flying"
490,75,,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Tauros,100,95,40,490,Normal
490,75,,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png,Tauros,110,105,30,490,Fighting
490,75,,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png,Tauros,110,105,30,490,"Fighting,Fire"
490,75,,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png,Tauros,110,105,30,490,"Fighting,Water"
200,20,,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,Magikarp,10,55,15,200,Water
540,95,,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Gyarados,125,79,60,540,"Water,Flying"
640,95,,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,Gyarados,155,109,70,640,"Water,Dark"
535,130,,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,Lapras,85,80,85,535,"Water,Ice"
288,48,,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,Ditto,48,48,48,288,Normal
325,55,,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,Eevee,55,50,45,325,Normal
435,65,,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,Eevee,75,70,65,435,Normal
525,130,,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,Vaporeon,65,60,110,525,Water
525,65,,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,Jolteon,65,60,110,525,Electric
525,65,,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,Flareon,130,60,95,525,Fire
395,65,,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,Porygon,60,70,85,395,Normal
355,35,,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,Omanyte,40,100,90,355,"Rock,Water"
495,70,,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,Omastar,60,125,115,495,"Rock,Water"
355,30,,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,Kabuto,80,90,55,355,"Rock,Water"
495,60,,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Kabutops,115,105,65,495,"Rock,Water"
515,80,,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Aerodactyl,105,65,60,515,"Rock,Flying"
615,80,,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,Aerodactyl,135,85,70,615,"Rock,Flying"
540,160,,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Snorlax,110,65,65,540,Normal
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,Articuno,85,100,95,580,"Ice,Flying"
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,Articuno,85,85,125,580,"Psychic,Flying"
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,Zapdos,90,85,125,580,"Electric,Flying"
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,Zapdos,125,90,85,580,"Fighting,Flying"
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,Moltres,100,90,125,580,"Fire,Flying"
580,90,,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,Moltres,85,90,100,580,"Dark,Flying"
300,41,,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,Dratini,64,45,50,300,Dragon
420,61,,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,Dragonair,84,65,70,420,Dragon
600,91,,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Dragonite,134,95,100,600,"Dragon,Flying"
680,106,,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,Mewtwo,110,90,154,680,Psychic
780,106,,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,Mewtwo,190,100,154,780,"Psychic,Fighting"
780,106,,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,Mewtwo,150,70,194,780,Psychic
600,100,,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,Mew,100,100,100,600,Psychic
318,45,,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,Chikorita,49,65,49,318,Grass
405,60,,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,Bayleef,62,80,63,405,Grass
525,80,,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,Meganium,82,100,83,525,Grass
309,39,,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,Cyndaquil,52,43,60,309,Fire
405,58,,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,Quilava,64,58,80,405,Fire
534,78,,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,Typhlosion,84,78,109,534,Fire
534,73,,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png,Typhlosion,84,78,119,534,"Fire,Ghost"
314,50,,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,Totodile,65,64,44,314,Water
405,65,,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,Croconaw,80,80,59,405,Water
530,85,,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,Feraligatr,105,100,79,530,Water
215,35,,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,Sentret,46,34,35,215,Normal
415,85,,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,Furret,76,64,45,415,Normal
262,60,,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,Hoothoot,30,30,36,262,"Normal,Flying"
452,100,,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,Noctowl,50,50,86,452,"Normal,Flying"
265,40,,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,Ledyba,20,30,40,265,"Bug,Flying"
390,55,,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,Ledian,35,50,55,390,"Bug,Flying"
250,40,,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,Spinarak,60,40,40,250,"Bug,Poison"
400,70,,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,Ariados,90,70,60,400,"Bug,Poison"
535,85,,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Crobat,90,80,70,535,"Poison,Flying"
330,75,,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,Chinchou,38,38,56,330,"Water,Electric"
460,125,,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,Lanturn,58,58,76,460,"Water,Electric"
205,20,,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Pichu,40,15,35,205,Electric
218,50,,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Cleffa,25,28,45,218,Fairy
210,90,,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Igglybuff,30,15,40,210,"Normal,Fairy"
245,35,,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Togepi,20,65,40,245,Fairy
405,55,,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,Togetic,40,85,80,405,"Fairy,Flying"
320,40,,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,Natu,50,45,70,320,"Psychic,Flying"
470,65,,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,Xatu,75,70,95,470,"Psychic,Flying"
280,55,,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,Mareep,40,40,65,280,Electric
365,70,,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,Flaaffy,55,55,80,365,Electric
510,90,,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,Ampharos,75,85,115,510,Electric
610,90,,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,Ampharos,95,105,165,610,"Electric,Dragon"
490,75,,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,Bellossom,80,95,90,490,Grass
